# секунда	частота	CPU мс	GPU мс	draw calls
597	72.0	1.620	10.595	1600
598	72.0	1.637	10.565	1600
599	72.0	1.712	8.510	1600
600	72.0	1.570	10.371	1600
601	72.0	1.716	10.994	1600
602	72.0	1.630	10.864	1600
603	72.0	1.637	10.695	1600
604	72.0	1.579	10.192	1600
605	72.0	1.592	10.364	1600
606	72.0	1.523	10.331	1600
607	72.0	1.579	10.528	1600
608	72.0	1.538	10.490	1600
609	72.0	1.582	10.489	1600
610	72.0	1.691	10.302	1600
611	72.0	1.646	10.419	1600
612	72.0	1.621	10.424	1600
613	72.0	1.769	10.443	1600
614	72.0	1.636	10.257	1600
615	72.0	1.760	10.457	1600
616	72.0	1.614	10.354	1600
617	72.0	1.576	10.328	1600
618	72.0	1.643	10.409	1600
619	72.0	1.557	10.429	1600
620	72.0	1.561	10.407	1600
621	72.0	1.601	10.479	1600
622	72.0	1.618	10.507	1600
623	72.0	1.688	10.503	1600
624	72.0	1.595	10.911	1600
625	72.0	1.621	10.375	1600
626	72.0	1.712	10.779	1600
627	72.0	1.620	10.905	1600
628	72.0	1.584	10.931	1600
629	72.0	1.654	10.342	1600
630	72.0	1.573	10.702	1600
631	72.0	1.605	10.853	1600
632	72.0	1.683	11.319	1600
633	72.0	1.630	10.735	1600
634	72.0	1.597	10.403	1600
635	72.0	1.597	10.400	1600
636	72.0	1.675	10.546	1600
637	72.0	1.621	10.805	1600
638	72.0	1.550	10.282	1600
639	72.0	1.651	10.565	1600
640	72.0	1.578	10.527	1600
641	72.0	1.588	10.627	1600
642	72.0	1.590	10.452	1600
643	72.0	1.587	10.385	1600
644	72.0	1.594	10.807	1600
645	72.0	1.706	10.337	1600
646	72.0	1.625	10.481	1600
647	72.0	1.618	10.363	1600
648	72.0	1.723	10.488	1600
649	72.0	1.615	11.000	1600
650	72.0	1.720	10.642	1600
651	72.0	1.230	10.642	1600
652	72.0	1.750	10.370	1600
653	72.0	1.672	10.490	1600
654	72.0	1.610	10.712	1600
655	72.0	1.574	10.359	1600
656	72.0	1.636	10.512	1600
657	72.0	1.711	10.584	1600
658	72.0	1.666	10.535	1600
659	72.0	1.614	10.830	1600
660	72.0	1.722	10.400	1600
661	72.0	1.628	10.424	1600
662	72.0	1.665	10.447	1600
663	72.0	1.661	10.473	1600
664	72.0	1.664	10.461	1600
665	72.0	1.677	10.503	1600
666	72.0	1.631	10.585	1600
667	72.0	1.657	10.358	1600
668	72.0	1.634	10.348	1600
669	72.0	1.672	10.533	1600
670	72.0	1.657	10.839	1600
671	72.0	1.691	10.672	1600
672	72.0	1.663	10.566	1600
673	72.0	1.594	10.570	1600
674	72.0	1.650	10.805	1600
675	72.0	1.648	10.513	1600
676	72.0	1.714	11.112	1600
677	72.0	1.575	10.389	1600
678	72.0	1.949	11.183	1600
679	72.0	1.744	10.652	1600
680	72.0	1.785	10.986	1600
681	72.0	1.760	10.584	1600
682	72.0	1.857	11.058	1600
683	72.0	1.593	10.824	1600
684	72.0	1.645	11.039	1600
685	72.0	1.855	11.010	1600
686	72.0	1.778	11.411	1600
687	72.0	1.692	10.895	1600
688	72.0	1.566	10.737	1600
689	72.0	1.656	10.697	1600
690	72.0	1.722	10.797	1600
691	72.0	1.733	10.835	1600
692	72.0	1.712	10.758	1600
693	72.0	1.663	10.869	1600
694	72.0	1.752	10.976	1600
695	72.0	1.671	11.058	1600
696	72.0	1.720	10.632	1600
697	72.0	1.655	10.952	1600
698	72.0	1.559	10.809	1600
699	72.0	1.648	10.939	1600
700	72.0	1.632	10.970	1600
701	72.0	1.653	11.417	1600
702	72.0	1.539	10.899	1600
703	72.0	1.713	11.003	1600
704	72.0	1.658	10.842	1600
705	72.0	1.683	10.941	1600
706	72.0	1.523	10.087	1600
707	72.0	1.543	10.591	1600
708	72.0	1.574	10.794	1600
709	72.0	1.568	10.671	1600
710	72.0	1.596	10.652	1600
711	72.0	1.556	10.971	1600
712	72.0	1.562	10.923	1600
713	72.0	1.604	10.901	1600
714	72.0	1.567	11.017	1600
715	72.0	1.688	10.804	1600
716	72.0	1.643	10.690	1600
717	72.0	1.622	10.487	1600
718	72.0	1.684	10.844	1600
719	72.0	1.724	10.477	1600
720	72.0	1.663	10.816	1600
721	72.0	1.747	10.779	1600
722	72.0	1.553	10.740	1600
723	72.0	1.757	10.955	1600
724	72.0	1.691	11.339	1600
725	72.0	1.785	10.928	1600
726	72.0	1.600	10.599	1600
727	72.0	1.626	10.387	1600
728	72.0	1.720	10.439	1600
729	72.0	1.620	10.766	1600
730	72.0	1.701	11.072	1600
731	72.0	1.760	11.247	1600
732	72.0	1.648	10.610	1600
733	72.0	1.655	10.574	1600
734	72.0	1.663	10.445	1600
735	72.0	1.615	10.953	1600
736	72.0	1.639	10.995	1600
737	72.0	1.603	10.995	1600
738	72.0	1.697	10.487	1600
739	72.0	1.607	10.386	1600
740	72.0	1.616	11.142	1600
741	72.0	1.539	10.960	1600
742	72.0	1.626	10.531	1600
743	72.0	1.590	10.736	1600
744	72.0	1.655	10.777	1600
745	72.0	1.574	10.796	1600
746	72.0	1.590	10.473	1600
747	72.0	1.680	10.508	1600
748	72.0	1.815	10.802	1600
749	72.0	1.548	10.758	1600
750	72.0	1.568	10.456	1600
751	72.0	1.596	10.365	1600
752	72.0	1.545	10.360	1600
753	72.0	1.604	10.433	1600
754	72.0	1.690	10.455	1600
755	72.0	1.595	10.469	1600
756	72.0	1.576	10.413	1600
757	72.0	1.570	10.440	1600
758	72.0	1.515	10.406	1600
759	72.0	1.618	10.496	1600
760	72.0	1.570	10.653	1600
761	72.0	1.560	10.621	1600
762	72.0	1.539	10.555	1600
763	72.0	1.719	10.747	1600
764	72.0	1.653	10.494	1600
765	72.0	1.595	10.585	1600
766	72.0	1.516	10.587	1600
767	72.0	1.566	10.568	1600
768	72.0	1.630	10.553	1600
769	72.0	1.572	10.865	1600
770	72.0	1.565	10.408	1600
771	72.0	1.600	10.415	1600
772	72.0	1.447	10.003	1600
773	72.0	1.584	10.420	1600
774	72.0	1.629	10.451	1600
775	72.0	1.605	10.520	1600
776	72.0	1.529	10.068	1600
777	72.0	1.573	10.406	1600
778	72.0	1.550	10.506	1600
779	72.0	1.549	10.542	1600
780	72.0	1.553	10.532	1600
781	72.0	1.599	10.584	1600
782	72.0	1.526	10.535	1600
783	72.0	1.619	10.539	1600
784	72.0	1.624	10.503	1600
785	72.0	1.698	10.660	1600
786	72.0	1.616	10.535	1600
787	72.0	1.568	10.529	1600
788	72.0	1.534	10.550	1600
789	72.0	1.566	10.865	1600
790	72.0	1.872	11.036	1600
791	72.0	1.559	10.374	1600
792	72.0	1.659	10.697	1600
793	72.0	1.621	10.722	1600
794	72.0	1.706	11.210	1600
795	72.0	1.608	11.106	1600
796	72.0	1.809	10.781	1600
797	72.0	1.623	10.629	1600
798	72.0	1.625	10.858	1600
799	72.0	1.608	10.747	1600
800	72.0	1.606	10.342	1600
801	72.0	1.607	10.866	1600
802	72.0	1.727	10.538	1600
803	72.0	1.614	10.960	1600
804	72.0	1.609	10.875	1600
805	72.0	1.597	11.043	1600
806	72.0	1.777	10.999	1600
807	72.0	1.656	10.920	1600
808	72.0	1.646	10.900	1600
809	72.0	1.621	11.141	1600
810	72.0	1.674	10.545	1600
811	72.0	1.699	10.638	1600
812	72.0	1.693	10.661	1600
813	72.0	1.691	10.669	1600
814	72.0	1.603	10.544	1600
