unix_t	window	hand	tracked	curl_index	curl_middle	curl_ring	curl_pinky	pinch_m	palm_head	cls	hi_pinch	hi_grasp	aim_pinch	aim_menu
1789352117.4078	rest	L	1	0.0017	0.0014	0.0009	0.0056	0.1091	0.9829		0	0	0	0
1789352117.4078	rest	R	1	0.0013	0.0021	0.0003	0.0047	0.1089	0.9907		0	0	0	0
1789352117.4191	rest	L	1	0.0017	0.0014	0.0009	0.0056	0.1091	0.9829		0	0	0	0
1789352117.4191	rest	R	1	0.0013	0.0021	0.0003	0.0047	0.1089	0.9910		0	0	0	0
1789352117.4303	rest	L	1	0.0017	0.0014	0.0009	0.0057	0.1091	0.9830		0	0	0	0
1789352117.4303	rest	R	1	0.0013	0.0021	0.0003	0.0047	0.1089	0.9912		0	0	0	0
1789352117.4415	rest	L	1	0.0017	0.0014	0.0009	0.0057	0.1091	0.9830		0	0	0	0
1789352117.4415	rest	R	1	0.0013	0.0021	0.0003	0.0047	0.1089	0.9914		0	0	0	0
1789352117.4527	rest	L	1	0.0017	0.0014	0.0009	0.0057	0.1091	0.9832		0	0	0	0
1789352117.4527	rest	R	1	0.0013	0.0021	0.0003	0.0047	0.1089	0.9917		0	0	0	0
1789352117.4638	rest	L	1	0.0017	0.0014	0.0009	0.0057	0.1091	0.9832		0	0	0	0
1789352117.4638	rest	R	1	0.0013	0.0021	0.0003	0.0047	0.1090	0.9920		0	0	0	0
1789352117.4749	rest	L	1	0.0017	0.0014	0.0009	0.0057	0.1091	0.9833		0	0	0	0
1789352117.4749	rest	R	1	0.0013	0.0021	0.0003	0.0047	0.1090	0.9922		0	0	0	0
1789352117.4859	rest	L	1	0.0017	0.0014	0.0009	0.0057	0.1091	0.9832		0	0	0	0
1789352117.4859	rest	R	1	0.0013	0.0021	0.0003	0.0047	0.1089	0.9918		0	0	0	0
1789352117.4968	rest	L	1	0.0017	0.0014	0.0009	0.0057	0.1091	0.9832		0	0	0	0
1789352117.4968	rest	R	1	0.0013	0.0021	0.0003	0.0047	0.1089	0.9917		0	0	0	0
1789352117.5081	rest	L	1	0.0017	0.0014	0.0009	0.0057	0.1091	0.9831		0	0	0	0
1789352117.5081	rest	R	1	0.0013	0.0021	0.0003	0.0048	0.1089	0.9917		0	0	0	0
1789352117.5193	rest	L	1	0.0017	0.0014	0.0009	0.0057	0.1091	0.9831		0	0	0	0
1789352117.5193	rest	R	1	0.0013	0.0021	0.0003	0.0048	0.1089	0.9916		0	0	0	0
1789352117.5301	rest	L	1	0.0017	0.0014	0.0009	0.0057	0.1090	0.9831		0	0	0	0
1789352117.5301	rest	R	1	0.0013	0.0021	0.0003	0.0048	0.1089	0.9916		0	0	0	0
1789352117.5414	rest	L	1	0.0017	0.0014	0.0009	0.0057	0.1090	0.9830		0	0	0	0
1789352117.5414	rest	R	1	0.0013	0.0021	0.0003	0.0048	0.1089	0.9916		0	0	0	0
1789352117.5528	rest	L	1	0.0017	0.0014	0.0009	0.0057	0.1090	0.9830		0	0	0	0
1789352117.5528	rest	R	1	0.0013	0.0021	0.0003	0.0048	0.1089	0.9916		0	0	0	0
1789352117.5639	rest	L	1	0.0017	0.0014	0.0009	0.0057	0.1090	0.9829		0	0	0	0
1789352117.5639	rest	R	1	0.0013	0.0021	0.0003	0.0047	0.1089	0.9917		0	0	0	0
1789352117.5748	rest	L	1	0.0017	0.0014	0.0009	0.0057	0.1090	0.9829		0	0	0	0
1789352117.5748	rest	R	1	0.0013	0.0021	0.0003	0.0047	0.1089	0.9917		0	0	0	0
1789352117.5859	rest	L	1	0.0017	0.0014	0.0009	0.0057	0.1090	0.9829		0	0	0	0
1789352117.5859	rest	R	1	0.0013	0.0021	0.0003	0.0047	0.1089	0.9918		0	0	0	0
1789352117.5973	rest	L	1	0.0017	0.0014	0.0009	0.0057	0.1090	0.9828		0	0	0	0
1789352117.5973	rest	R	1	0.0013	0.0021	0.0003	0.0047	0.1089	0.9918		0	0	0	0
1789352117.6082	rest	L	1	0.0017	0.0014	0.0009	0.0057	0.1089	0.9829		0	0	0	0
1789352117.6082	rest	R	1	0.0013	0.0021	0.0003	0.0047	0.1089	0.9919		0	0	0	0
1789352117.6192	rest	L	1	0.0017	0.0014	0.0009	0.0057	0.1089	0.9828		0	0	0	0
1789352117.6192	rest	R	1	0.0013	0.0021	0.0003	0.0047	0.1089	0.9920		0	0	0	0
1789352117.6304	rest	L	1	0.0017	0.0014	0.0009	0.0057	0.1089	0.9828		0	0	0	0
1789352117.6304	rest	R	1	0.0013	0.0021	0.0003	0.0047	0.1089	0.9921		0	0	0	0
1789352117.6416	rest	L	1	0.0016	0.0014	0.0009	0.0057	0.1088	0.9828		0	0	0	0
