# unix_время	событие	поверхность	радиус_см	ячейка_см	ячейка_факт_см	уровень_глобуса	вращение_рукой	папка	задание	попадание	мс_от_задания	подробности
# сессия 2026-09-15T23:51:33
1789498434.120	мастер_значение	globe	11.5	8.3	8.34	2	ball					cell_cm=8.3
1789498434.132	мастер_значение	globe	11.5	8.2	8.34	2	ball					cell_cm=8.2
1789498434.152	мастер_значение	globe	11.5	8.1	8.34	2	ball					cell_cm=8.1
1789498434.175	мастер_значение	globe	11.5	8.2	8.34	2	ball					cell_cm=8.2
1789498434.264	мастер_значение	globe	11.5	8.3	8.34	2	ball					cell_cm=8.3
1789498448.132	мастер_значение	globe	11.5	9.0	8.66	1	ball					cell_cm=9.0
1789498451.543	мастер_значение	globe	11.5	9.7	8.66	1	ball					cell_cm=9.7
1789498453.933	мастер_значение	globe	11.5	10.4	8.66	1	ball					cell_cm=10.4
1789498456.744	мастер_значение	globe	11.5	11.3	14.7	0	ball					cell_cm=11.3
1789498456.755	мастер_значение	globe	11.5	11.4	14.7	0	ball					cell_cm=11.4
1789498456.767	мастер_значение	globe	11.5	11.5	14.7	0	ball					cell_cm=11.5
1789498456.810	мастер_значение	globe	11.5	11.6	14.7	0	ball					cell_cm=11.6
1789498456.855	мастер_значение	globe	11.5	11.7	14.7	0	ball					cell_cm=11.7
1789498456.866	мастер_значение	globe	11.5	11.8	14.7	0	ball					cell_cm=11.8
1789498456.887	мастер_значение	globe	11.5	11.9	14.7	0	ball					cell_cm=11.9
1789498456.899	мастер_значение	globe	11.5	12.1	14.7	0	ball					cell_cm=12.1
1789498456.910	мастер_значение	globe	11.5	12.2	14.7	0	ball					cell_cm=12.2
1789498456.921	мастер_значение	globe	11.5	12.3	14.7	0	ball					cell_cm=12.3
1789498456.943	мастер_значение	globe	11.5	12.4	14.7	0	ball					cell_cm=12.4
1789498456.976	мастер_значение	globe	11.5	12.5	14.7	0	ball					cell_cm=12.5
1789498456.999	мастер_значение	globe	11.5	12.6	14.7	0	ball					cell_cm=12.6
1789498457.021	мастер_значение	globe	11.5	12.7	14.7	0	ball					cell_cm=12.7
1789498457.043	мастер_значение	globe	11.5	12.8	14.7	0	ball					cell_cm=12.8
1789498457.065	мастер_значение	globe	11.5	12.7	14.7	0	ball					cell_cm=12.7
1789498457.099	мастер_значение	globe	11.5	12.6	14.7	0	ball					cell_cm=12.6
1789498457.143	мастер_значение	globe	11.5	12.5	14.7	0	ball					cell_cm=12.5
1789498457.165	мастер_значение	globe	11.5	12.4	14.7	0	ball					cell_cm=12.4
1789498457.177	мастер_значение	globe	11.5	12.3	14.7	0	ball					cell_cm=12.3
1789498457.188	мастер_значение	globe	11.5	12.2	14.7	0	ball					cell_cm=12.2
1789498457.199	мастер_значение	globe	11.5	12.1	14.7	0	ball					cell_cm=12.1
1789498457.221	мастер_значение	globe	11.5	12.0	14.7	0	ball					cell_cm=12.0
1789498457.232	мастер_значение	globe	11.5	11.9	14.7	0	ball					cell_cm=11.9
1789498457.254	мастер_значение	globe	11.5	11.8	14.7	0	ball					cell_cm=11.8
1789498457.276	мастер_значение	globe	11.5	11.7	14.7	0	ball					cell_cm=11.7
1789498457.288	мастер_значение	globe	11.5	11.6	14.7	0	ball					cell_cm=11.6
1789498457.309	мастер_значение	globe	11.5	11.4	14.7	0	ball					cell_cm=11.4
1789498457.321	мастер_значение	globe	11.5	11.3	14.7	0	ball					cell_cm=11.3
1789498457.332	мастер_значение	globe	11.5	11.1	8.66	1	ball					cell_cm=11.1
1789498457.344	мастер_значение	globe	11.5	11.0	8.66	1	ball					cell_cm=11.0
1789498457.355	мастер_значение	globe	11.5	10.9	8.66	1	ball					cell_cm=10.9
1789498457.365	мастер_значение	globe	11.5	10.8	8.66	1	ball					cell_cm=10.8
1789498457.386	мастер_значение	globe	11.5	10.7	8.66	1	ball					cell_cm=10.7
1789498457.410	мастер_значение	globe	11.5	10.6	8.66	1	ball					cell_cm=10.6
1789498457.431	мастер_значение	globe	11.5	10.5	8.66	1	ball					cell_cm=10.5
1789498457.454	мастер_значение	globe	11.5	10.4	8.66	1	ball					cell_cm=10.4
1789498457.476	мастер_значение	globe	11.5	10.3	8.66	1	ball					cell_cm=10.3
1789498457.499	мастер_значение	globe	11.5	10.2	8.66	1	ball					cell_cm=10.2
1789498457.599	мастер_значение	globe	11.5	10.3	8.66	1	ball					cell_cm=10.3
1789498457.611	мастер_значение	globe	11.5	10.2	8.66	1	ball					cell_cm=10.2
1789498457.655	мастер_значение	globe	11.5	10.3	8.66	1	ball					cell_cm=10.3
1789498457.677	мастер_значение	globe	11.5	10.4	8.66	1	ball					cell_cm=10.4
1789498457.766	мастер_значение	globe	11.5	10.5	8.66	1	ball					cell_cm=10.5
1789498457.778	мастер_значение	globe	11.5	10.6	8.66	1	ball					cell_cm=10.6
1789498457.788	мастер_значение	globe	11.5	10.7	8.66	1	ball					cell_cm=10.7
1789498457.799	мастер_значение	globe	11.5	10.8	8.66	1	ball					cell_cm=10.8
